,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
716,2019-05-14,1557806400,67.9,35.9,53.6,67.9,33.5,53.0,37.1,59.7,0.002,100.0,8.33,['rain'],0.0,0.0,17.2,11.1,281.1,1015.9,11.1,9.8,294.2,25.4,8.0,,06:17:01,1557829021,20:52:45,1557881565,0.35,Rain,Clear conditions throughout the day with rain.,rain,"['72539014836', '72028404877', 'KY70', 'MIHTC', 'KFPK', 'KLAN', '72537804887']",obs
717,2020-05-06,1588741200,66.5,48.0,57.5,66.5,44.9,57.0,32.5,41.1,0.0,0.0,0.0,,0.0,0.0,34.4,17.6,322.0,1019.8,56.5,9.9,236.3,20.3,9.0,,05:53:58,1588762438,20:24:45,1588814685,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['HPN07', 'C5560', 'D0937', 'KSTP', 'KSGS', '72658414927', 'KMSP', '72658014922', '72660304974']",obs
718,2019-05-10,1557464400,62.9,39.7,52.3,62.9,34.9,51.2,36.9,60.0,0.0,0.0,0.0,,0.0,0.0,23.0,13.0,304.3,1020.8,40.7,9.9,238.0,20.6,10.0,,06:00:33,1557486033,20:21:51,1557537711,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KDSM', 'KAMW', '72546014933', '72546604938', 'KIKV', '99999954902', 'C6735']",obs
719,2020-05-11,1589173200,55.1,39.9,47.7,55.1,36.3,45.4,22.0,38.3,0.0,0.0,0.0,,0.0,0.0,24.1,15.7,332.3,1023.6,28.9,9.8,297.9,25.7,9.0,,05:47:33,1589194053,20:30:43,1589247043,0.64,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['HPN07', 'C5560', 'KSTP', 'KSGS', '72658414927', 'KMSP', '72658014922', '72660304974']",obs
720,2023-05-20,1684558800,71.2,44.2,58.5,71.2,40.5,57.7,41.9,56.7,0.0,0.0,0.0,,0.0,0.0,11.4,9.1,346.9,1023.8,0.8,9.7,273.4,23.6,9.0,10.0,05:50:44,1684579844,20:31:54,1684632714,0.03,Clear,Clear conditions throughout the day.,clear-day,"['KDSM', '72546014933', '72546604938', 'KIKV', '99999954902', 'C0005']",obs
721,2023-05-02,1683003600,61.1,42.2,51.2,61.1,34.6,48.0,20.6,31.8,0.0,0.0,0.0,,0.0,0.0,39.5,23.5,333.1,1010.0,9.0,9.9,317.0,27.2,10.0,10.0,06:00:37,1683025237,20:19:01,1683076741,0.4,Clear,Clear conditions throughout the day.,clear-day,"['D0937', 'KSTP', 'KSGS', '72658414927', 'KMSP', '72658014922', '72660304974']",obs
722,2023-05-20,1684558800,73.0,44.9,59.8,73.0,44.9,59.6,42.2,56.3,0.0,0.0,0.0,,0.0,0.0,18.3,12.4,267.8,1023.0,0.4,9.9,359.1,30.8,10.0,10.0,05:38:30,1684579110,20:40:05,1684633205,0.03,Clear,Clear conditions throughout the day.,clear-day,"['HPN07', 'D0937', 'KSTP', 'KSGS', '72658414927', 'KMSP', '72658014922', '72660304974']",obs
723,2023-05-20,1684558800,73.4,44.9,59.4,73.4,41.7,58.7,41.9,55.9,0.0,0.0,0.0,,0.0,0.0,20.8,13.6,334.8,1021.0,5.6,9.9,243.5,21.1,7.0,10.0,05:29:30,1684578570,20:19:21,1684631961,0.03,Clear,Clear conditions throughout the day.,clear-day,"['MIALT', '72641404873', 'F3620', '72641014837', 'KEFT', 'KC29', '99999900236', 'KMSN']",obs
724,2022-05-10,1652158800,89.7,68.1,78.7,94.1,68.1,80.4,67.0,68.8,0.04,100.0,4.17,['rain'],0.0,0.0,24.2,15.1,180.1,1013.4,55.7,9.6,176.0,15.1,7.0,100.0,05:39:37,1652179177,20:09:02,1652231342,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['MIALT', 'BKNW3', 'F3620', '72641014837', 'KEFT', 'KC29', '99999900236', 'KMSN']",obs
725,2020-05-06,1588737600,61.0,34.1,47.8,61.0,29.3,45.9,21.2,37.8,0.0,0.0,0.0,,0.0,0.0,23.0,11.2,330.7,1016.5,6.1,9.9,298.3,25.6,9.0,,06:25:23,1588760723,20:44:55,1588812295,0.47,Clear,Clear conditions throughout the day.,clear-day,"['72539014836', '72028404877', 'KY70', 'MIHTC', 'KFPK', 'KLAN']",obs
726,2019-06-28,1561698000,81.9,65.5,72.8,84.4,65.5,73.4,66.1,80.6,0.982,100.0,16.67,['rain'],0.0,0.0,25.3,10.3,135.2,1018.5,49.0,9.2,165.1,14.2,7.0,,05:20:30,1561717230,20:41:00,1561772460,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['D5478', '72641404873', '72641014837', 'KEFT', 'KC29', '99999900236', 'KMSN']",obs
727,2019-06-28,1561698000,86.0,71.2,78.9,92.1,71.2,80.4,69.7,73.9,0.0,0.0,0.0,,0.0,0.0,32.0,16.6,157.4,1016.2,48.3,9.8,144.5,12.4,7.0,,05:42:41,1561718561,20:52:40,1561773160,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KDSM', 'D3886', 'KAMW', '72546014933', '72546604938', 'KIKV', '99999954902', 'C6735']",obs
728,2021-06-28,1624856400,82.9,63.1,71.1,84.6,63.1,71.3,64.8,81.8,0.155,100.0,12.5,['rain'],0.0,0.0,35.6,7.9,133.9,1016.9,27.5,8.6,150.6,13.1,9.0,,05:28:30,1624876110,21:02:55,1624932175,0.63,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"['C5560', 'KSTP', 'KSGS', '72658414927', '72660304974', 'KMSP', '72658014922']",obs
729,2022-06-10,1654837200,77.1,53.1,65.4,77.1,53.1,65.4,53.2,65.7,0.03,100.0,8.33,['rain'],0.0,0.0,19.7,10.7,226.3,1011.6,62.0,9.9,149.7,12.9,6.0,60.0,05:18:01,1654856281,20:36:24,1654911384,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['MIALT', 'F3620', '72641404873', '72641014837', 'KEFT', 'KC29', '99999900236', 'KMSN']",obs
730,2023-06-20,1687237200,89.9,70.1,79.9,87.7,70.1,79.3,58.7,51.6,0.0,0.0,0.0,,0.0,0.0,23.0,13.5,144.9,1016.0,0.1,9.6,481.3,42.0,9.0,10.0,05:25:46,1687256746,21:02:18,1687312938,0.08,Clear,Clear conditions throughout the day.,clear-day,"['HPN07', 'D0937', 'KSTP', 'KSGS', '72658414927', 'KMSP', '72658014922', '72660304974', 'D3800']",obs
731,2022-06-27,1656306000,77.1,54.8,66.2,77.1,54.8,66.2,48.1,54.7,0.0,0.0,0.0,,0.0,0.0,28.9,11.9,316.2,1022.9,12.4,9.9,252.5,21.8,8.0,10.0,05:20:14,1656325214,20:41:04,1656380464,0.95,Clear,Clear conditions throughout the day.,clear-day,"['MIALT', 'BKNW3', 'F3620', '72641014837', 'KEFT', 'KC29', '99999900236', 'KMSN']",obs
732,2022-06-29,1656475200,82.9,61.1,72.4,83.4,61.1,72.5,57.9,62.6,0.217,100.0,20.83,['rain'],0.0,0.0,21.9,12.5,272.8,1021.3,61.6,9.4,122.2,10.6,7.0,10.0,06:03:00,1656496980,21:20:23,1656552023,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['72539014836', '72028404877', 'KY70', 'KFPK', 'E9296', 'KLAN']",obs
733,2020-06-05,1591333200,84.5,65.9,75.5,85.5,65.9,75.7,61.5,63.3,0.0,0.0,0.0,,0.0,0.0,20.5,14.5,301.0,1010.4,39.7,9.9,209.3,18.1,7.0,,05:19:07,1591352347,20:33:36,1591407216,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['MIALT', 'BKNW3', '72641404873', 'F3620', '72641014837', 'KEFT', 'KC29', '99999900236', 'KMSN']",obs
734,2021-06-28,1624856400,78.6,66.3,73.2,78.6,66.3,73.2,65.2,76.4,0.0,0.0,0.0,,0.0,0.0,,11.0,152.8,1018.9,65.8,9.9,153.2,13.2,4.0,,05:20:45,1624875645,20:41:00,1624930860,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72641404873', 'F3620', '72641014837', 'KEFT', 'KC29', '99999900236', 'KMSN']",obs
735,2021-06-23,1624424400,86.9,62.2,74.9,90.4,62.2,76.1,63.5,69.3,0.001,100.0,4.17,['rain'],0.0,0.0,28.9,17.6,181.3,1009.8,44.4,9.9,205.6,17.7,9.0,,05:41:07,1624444867,20:52:30,1624499550,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['KDSM', 'KAMW', '72546014933', '72546604938', 'KIKV', '99999954902', 'C6735']",obs
736,2021-06-23,1624424400,86.9,62.2,74.9,90.4,62.2,76.1,63.5,69.3,0.001,100.0,4.17,['rain'],0.0,0.0,28.9,17.6,181.3,1009.8,44.4,9.9,205.6,17.7,9.0,,05:41:07,1624444867,20:52:30,1624499550,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['KDSM', 'KAMW', '72546014933', '72546604938', 'KIKV', '99999954902', 'C6735']",obs
737,2023-06-20,1687233600,88.0,60.1,74.4,88.0,60.1,74.4,55.2,52.3,0.0,0.0,0.0,,0.0,0.0,20.5,14.7,79.0,1018.4,6.2,8.7,215.9,18.6,9.0,10.0,06:00:00,1687255200,21:19:42,1687310382,0.08,Clear,Clear conditions throughout the day.,clear-day,"['72539014836', '72028404877', 'KY70', 'MIHTC', 'KFPK', 'MIMSU', 'E9296', 'KLAN']",obs
