datetime,dew,humidity,precip,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,icon,Region,Tornado,Temp_Difference
2019-05-10,61.5,69.9,0.0,23.0,15.8,199.4,1018.0,54.0,9.6,165.1,14.5,10.0,Partially cloudy,partly-cloudy-day,SOUTHEAST,0,15.600000000000009
2019-05-10,52.3,72.9,0.0,26.7,17.7,6.6,1014.9,97.6,9.9,104.0,9.0,5.0,Overcast,cloudy,SOUTH,0,11.600000000000001
2019-05-10,32.1,76.3,0.037,45.9,15.1,190.0,1017.6,54.9,9.6,182.0,15.6,6.0,"Rain, Partially cloudy",rain,NORTHERN ROCKIES AND PLAINS,0,17.799999999999997
2019-05-10,35.8,88.3,0.283,26.1,18.8,156.4,1015.8,87.2,8.5,393.8,33.7,4.0,"Snow, Rain, Partially cloudy",rain,SOUTHWEST,0,8.299999999999997
2019-05-14,56.4,63.1,0.0,26.4,18.4,198.8,1013.1,19.5,9.9,249.7,21.4,8.0,Clear,clear-day,SOUTH,0,23.700000000000003
2019-05-14,48.9,61.0,0.0,24.2,12.8,143.8,1013.8,7.8,9.9,111.8,9.6,8.0,Clear,clear-day,OHIO VALLEY,0,31.199999999999996
2019-05-14,56.5,59.5,0.0,17.7,10.0,342.8,1014.3,63.8,9.9,314.7,27.1,9.0,Partially cloudy,partly-cloudy-day,SOUTHEAST,0,19.199999999999996
2019-05-14,42.3,66.4,0.012,25.3,16.1,301.1,1015.8,59.1,9.8,225.1,19.6,7.0,"Rain, Partially cloudy",rain,OHIO VALLEY,0,18.900000000000006
2019-05-14,58.4,70.0,0.0,0.0,9.2,111.0,1016.1,62.7,9.9,295.9,25.6,9.0,Partially cloudy,partly-cloudy-day,SOUTH,0,20.199999999999996
2019-05-15,62.6,73.0,0.0,19.7,12.5,119.6,1011.4,3.1,9.3,207.5,17.7,7.0,Clear,clear-day,SOUTH,0,25.5
2019-05-15,50.3,86.2,0.043,0.0,7.9,338.7,1006.6,75.8,9.9,102.1,8.8,4.0,"Rain, Partially cloudy",rain,NORTHWEST,0,11.400000000000006
2019-05-15,32.9,34.5,0.0,23.0,14.5,184.7,1012.7,12.5,9.9,580.4,50.0,10.0,Clear,clear-day,SOUTHWEST,0,30.300000000000004
2019-05-15,48.7,66.4,0.0,0.0,10.0,230.5,1015.3,56.4,9.9,197.3,16.8,9.0,Partially cloudy,partly-cloudy-day,OHIO VALLEY,0,21.10000000000001
2019-05-15,61.6,67.7,0.0,11.2,6.5,62.9,1016.4,5.5,9.7,301.9,26.2,10.0,Clear,clear-day,SOUTH,0,24.699999999999996
2019-05-15,52.5,80.5,0.093,18.3,10.6,172.0,1016.6,53.5,9.4,140.8,12.1,7.0,"Rain, Partially cloudy",rain,OHIO VALLEY,0,18.6
2019-05-15,47.9,63.9,0.0,17.2,7.8,275.7,1013.5,31.0,9.8,283.1,24.6,9.0,Partially cloudy,partly-cloudy-day,UPPER MIDWEST,0,31.300000000000004
2019-05-15,57.1,62.3,0.0,24.2,17.2,136.3,1011.4,10.9,9.9,282.3,24.4,9.0,Clear,clear-day,NORTHERN ROCKIES AND PLAINS,0,27.9
2019-05-15,46.4,69.4,0.0,17.2,10.3,212.1,1016.2,42.0,9.9,126.7,10.9,5.0,Partially cloudy,partly-cloudy-day,OHIO VALLEY,0,25.999999999999993
2019-05-15,48.4,59.9,0.0,12.1,7.6,324.6,1016.5,22.9,9.9,249.0,21.6,10.0,Partially cloudy,partly-cloudy-day,SOUTHEAST,0,24.999999999999993
2019-05-16,31.7,29.2,0.0,31.9,18.7,179.9,1008.0,5.5,9.9,497.8,42.8,7.0,Clear,clear-day,SOUTHWEST,0,25.1
2019-05-16,46.6,54.5,0.015,19.7,11.9,280.7,1011.8,48.4,9.9,215.6,18.7,10.0,"Rain, Partially cloudy",rain,NORTHEAST,0,19.799999999999997
2019-05-16,59.7,70.0,0.003,13.9,8.5,234.1,1014.2,38.0,8.9,287.7,24.8,9.0,"Rain, Partially cloudy",rain,OHIO VALLEY,0,33.10000000000001
2019-05-16,46.2,78.6,0.1,36.9,12.8,325.2,1008.2,77.9,9.6,60.9,5.2,3.0,"Rain, Partially cloudy",rain,NORTHERN ROCKIES AND PLAINS,0,5.200000000000003
2019-05-16,61.6,58.1,0.0,36.1,20.6,201.3,1007.9,0.0,9.9,306.9,26.3,10.0,Clear,clear-day,SOUTH,0,24.200000000000003
2019-05-16,63.7,69.6,0.0,12.3,7.5,242.8,1015.8,8.4,9.8,290.3,25.2,10.0,Clear,clear-day,SOUTH,0,24.900000000000006
2019-05-16,63.0,69.1,0.0,27.3,18.5,190.1,1012.1,22.2,9.9,258.2,22.4,8.0,Partially cloudy,partly-cloudy-day,SOUTH,0,22.5
2019-05-16,57.0,82.3,0.612,55.3,14.2,195.6,1012.7,42.6,7.6,150.8,12.7,7.0,"Rain, Partially cloudy",rain,OHIO VALLEY,0,23.800000000000004
2019-05-16,62.8,72.6,0.0,36.0,18.2,199.3,1009.9,12.8,8.7,275.8,23.5,9.0,Clear,clear-day,OHIO VALLEY,0,30.0
2019-05-17,63.2,63.0,0.014,43.6,29.9,175.8,1001.5,9.2,9.7,212.4,18.4,8.0,Rain,rain,NORTHERN ROCKIES AND PLAINS,1,18.10000000000001
2019-05-19,49.4,89.3,0.819,33.3,21.2,158.5,1008.8,58.0,8.8,189.8,16.4,8.0,"Rain, Partially cloudy",rain,WEST,1,11.700000000000003
2019-05-19,72.5,72.4,0.0,17.2,9.9,154.0,1008.8,56.3,6.6,257.6,22.4,9.0,Partially cloudy,partly-cloudy-day,SOUTH,1,15.200000000000003
2019-05-20,33.4,28.9,0.006,33.0,25.2,251.7,1006.0,57.7,9.9,323.3,27.9,10.0,"Rain, Partially cloudy",rain,SOUTHWEST,1,15.200000000000003
2019-05-21,50.4,80.3,1.171,39.7,22.3,108.5,1001.0,75.5,8.7,92.5,7.9,7.0,"Rain, Partially cloudy",rain,SOUTH,1,20.900000000000006
2019-05-22,61.7,77.4,0.47,34.2,21.7,165.7,1009.7,9.8,9.8,306.3,26.5,9.0,Rain,rain,OHIO VALLEY,1,24.299999999999997
2019-05-23,66.8,80.8,0.511,40.9,16.0,242.3,1016.9,47.7,9.5,131.1,11.2,6.0,"Rain, Partially cloudy",rain,OHIO VALLEY,1,17.099999999999994
2019-05-24,64.5,78.0,0.495,29.9,16.8,180.5,1011.7,52.2,9.5,124.3,10.8,9.0,"Rain, Partially cloudy",rain,SOUTH,1,9.200000000000003
2019-05-25,69.3,68.4,0.0,26.3,15.7,146.7,1014.8,62.0,9.8,200.0,17.4,7.0,Partially cloudy,partly-cloudy-day,SOUTH,1,14.600000000000009
2019-05-26,46.3,68.6,0.034,42.5,29.6,140.1,1005.5,25.8,9.9,222.3,19.2,9.0,"Rain, Partially cloudy",rain,NORTHWEST,1,23.1
2019-05-27,61.7,73.9,0.591,41.2,24.0,171.2,1005.9,48.4,9.1,243.5,21.1,9.0,"Rain, Partially cloudy",rain,NORTHERN ROCKIES AND PLAINS,1,19.099999999999994
2019-05-28,65.8,69.3,0.0,28.2,17.6,185.8,1005.8,66.6,9.9,139.5,12.0,8.0,Partially cloudy,partly-cloudy-day,OHIO VALLEY,1,11.400000000000006
2019-05-28,62.8,71.6,0.302,51.0,12.6,236.4,1008.2,53.9,9.9,199.3,17.3,7.0,"Rain, Partially cloudy",rain,NORTHEAST,1,23.800000000000004
2019-05-29,72.0,70.7,0.0,29.0,13.4,169.8,1005.9,69.6,9.8,167.6,14.3,10.0,Partially cloudy,partly-cloudy-day,SOUTH,1,12.200000000000003
2019-05-29,66.2,84.2,0.672,33.3,22.5,112.8,1006.9,40.9,9.5,219.3,19.1,9.0,"Rain, Partially cloudy",rain,OHIO VALLEY,1,18.0
2019-05-30,67.7,69.3,0.0,34.9,16.1,214.8,1007.7,27.0,9.0,168.7,14.5,9.0,Partially cloudy,partly-cloudy-day,NORTHEAST,1,13.200000000000003
2019-06-01,50.7,60.4,0.0,23.0,13.7,351.1,1014.6,0.0,9.9,336.2,29.1,10.0,Clear,clear-day,NORTHWEST,1,30.89999999999999
2019-06-02,46.6,63.7,0.01,40.6,18.6,152.2,1013.3,40.5,9.9,490.7,42.3,10.0,"Rain, Partially cloudy",rain,SOUTHWEST,1,24.89999999999999
2019-06-02,56.0,69.5,0.0,19.7,14.8,196.4,1009.0,2.8,9.9,406.7,35.2,10.0,Clear,clear-day,WEST,1,26.200000000000003
2019-06-03,42.7,48.8,0.003,38.0,20.4,160.9,1011.7,17.3,9.9,485.8,41.8,9.0,Rain,rain,SOUTHWEST,1,27.900000000000006
2019-06-05,63.1,74.1,0.177,26.4,18.0,210.4,1009.1,69.6,9.1,151.4,13.2,6.0,"Rain, Partially cloudy",rain,OHIO VALLEY,1,14.699999999999989
2019-06-06,75.3,86.8,4.296,38.0,17.0,194.7,1007.4,72.3,8.3,124.9,10.5,4.0,"Rain, Partially cloudy",rain,SOUTH,1,13.0
2019-06-10,59.5,76.7,0.009,31.1,20.3,325.9,1016.2,59.2,8.1,186.8,16.4,9.0,"Rain, Partially cloudy",rain,OHIO VALLEY,0,12.5
2019-06-10,56.6,54.0,0.0,32.9,21.3,350.8,1020.6,37.8,9.9,336.3,29.1,10.0,Partially cloudy,partly-cloudy-day,SOUTH,0,15.5
