,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk
198,2022-04-18,1650254400,46.0,33.5,38.7,40.6,25.6,31.1,31.4,76.1,0.229,100.0,37.5,"['rain', 'snow']",1.3,0.2,38.1,21.1,312.5,1018.4,98.8,8.8,34.7,3.0,1.0,07:02:32,1650279752,20:25:59,1650327959,0.57,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"['72435653866', 'KEYE', 'KIND', '72438093819', '72438453842', 'F9086', '72057500173']",obs,10.0
199,2023-04-07,1680840000,56.8,35.9,46.3,56.8,30.7,44.2,26.3,49.0,0.0,0.0,0.0,,0.0,0.0,21.9,13.5,51.9,1031.9,46.0,9.9,193.4,16.8,8.0,07:19:29,1680866369,20:14:42,1680912882,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KEYE', 'AR470', 'KIND', '72438093819', '72438453842', 'F9086', '72057500173']",obs,10.0
200,2019-04-05,1554440400,54.0,48.8,51.1,54.0,45.8,50.2,46.3,84.1,0.0,0.0,0.0,,0.0,0.0,,9.2,335.3,1018.0,98.9,8.6,30.5,2.5,1.0,06:47:39,1554464859,19:35:48,1554510948,0.0,Overcast,Cloudy skies throughout the day.,cloudy,"['72445803963', 'KJEF', '72442013997', 'C8078', 'KVIH', '72445003945', 'KCOU', 'ASLM7']",obs,
201,2022-04-16,1650085200,57.8,41.0,50.1,57.8,38.5,48.3,24.3,37.2,0.0,0.0,0.0,,0.0,0.0,25.5,13.9,8.5,1020.7,7.1,9.9,266.0,22.9,8.0,06:31:03,1650108663,19:46:33,1650156393,0.5,Clear,Clear conditions throughout the day.,clear-day,"['72445803963', 'D5315', 'KJEF', '72442013997', 'KVIH', '72445003945', 'KCOU']",obs,10.0
202,2023-04-18,1681790400,58.5,34.8,45.7,58.5,27.9,41.6,30.5,57.4,0.0,0.0,0.0,,0.0,0.0,26.4,19.0,267.7,1012.5,36.1,9.9,302.1,26.0,9.0,06:50:03,1681815003,20:13:26,1681863206,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KCMH', 'KTZR', 'KOSU', '72092800315', '72428804804', '0731W', '72428014821']",obs,10.0
203,2021-04-26,1619413200,79.1,47.0,63.9,79.1,42.6,62.9,46.9,55.6,0.0,0.0,0.0,,0.0,0.0,47.6,31.0,171.1,1011.2,0.0,9.9,283.8,24.5,9.0,06:05:00,1619435100,19:48:18,1619484498,0.5,Clear,Clear conditions throughout the day.,wind,"['74466653944', 'KSPI', 'MASI2', 'KAAA', '72439093822', 'D3458', '74467204862']",obs,
204,2023-04-14,1681444800,76.8,57.5,66.4,76.8,57.5,66.4,50.7,57.6,0.0,0.0,0.0,,0.0,0.0,17.2,9.4,170.1,1009.5,58.7,9.9,153.5,13.2,7.0,07:08:47,1681470527,20:21:44,1681518104,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['F9019', 'KEYE', 'KIND', '72438093819', '72438453842', 'F9086', '72057500173']",obs,10.0
205,2022-05-22,1653192000,70.1,62.1,66.6,70.1,62.1,66.6,61.3,83.2,0.126,100.0,8.33,['rain'],0.0,0.0,17.9,12.5,305.2,1020.9,90.9,9.2,79.0,7.0,2.0,06:23:21,1653215001,20:49:35,1653266975,0.75,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"['72422093820', 'KLEX', 'KFFT', 'AV666', '72423353841', 'C3512', '99999963838']",obs,10.0
206,2022-05-28,1653714000,73.3,61.3,65.9,73.3,61.3,65.9,56.3,72.0,0.0,0.0,0.0,,0.0,0.0,12.3,7.5,343.8,1014.7,81.5,9.3,125.2,10.7,4.0,05:32:54,1653733974,19:56:22,1653785782,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72327013897', '0679W', 'KJWN', 'KBNA', 'KMQY', '72327313827', '72327199999']",obs,10.0
207,2020-05-10,1589086800,61.0,46.1,53.9,61.0,40.9,52.7,34.3,49.7,0.0,0.0,0.0,,0.0,0.0,34.5,19.7,305.0,1021.9,45.1,9.9,182.6,15.9,7.0,06:01:06,1589108466,20:09:41,1589159381,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72445803963', 'D5315', 'KJEF', '72442013997', 'C8078', 'KVIH', '72445003945', 'KCOU']",obs,
